symbol,market,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,intraday_volume_ratio,intraday_trading_value_ratio,intraday_data_available,intraday_data_source,intraday_fetch_status,intraday_failure_reason,intraday_market_session,market_session_status,intraday_updated_at,intraday_warning,quote_available,quote_partial_available,quote_full_available,quote_source,quote_source_label,kis_quote_attempted,kis_quote_success,kis_quote_error,kis_exchange_code,quote_failure_reason,quote_retry_used,quote_fallback_used,quote_fallback_source,quote_fallback_price,quote_fallback_warning,bid_total_volume,ask_total_volume,orderbook_imbalance,execution_strength
XLE,미국주식,60.73,0.25,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,60.73,"quote API 미수신, 가격 fallback 사용",,,,
DDOG,미국주식,210.62,0.86,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,210.62,"quote API 미수신, 가격 fallback 사용",,,,
MSFT,미국주식,431.07,1.78,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,431.07,"quote API 미수신, 가격 fallback 사용",,,,
CRWD,미국주식,623.59,0.77,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,623.59,"quote API 미수신, 가격 fallback 사용",,,,
S,미국주식,17.76,1.25,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,17.76,"quote API 미수신, 가격 fallback 사용",,,,
COST,미국주식,1078.19,0.16,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,1078.19,"quote API 미수신, 가격 fallback 사용",,,,
APP,미국주식,501.1,1.77,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,501.1,"quote API 미수신, 가격 fallback 사용",,,,
MDB,미국주식,343.86,4.2,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,343.86,"quote API 미수신, 가격 fallback 사용",,,,
NET,미국주식,204.73,1.48,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,204.73,"quote API 미수신, 가격 fallback 사용",,,,
OKTA,미국주식,88.82,2.04,0.0,0.0,0.0,0.0,False,csv_fallback,fallback,fallback_used,regular,regular,2026-05-20 22:54:43,"KIS 실패: EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError; quote API 미수신, 가격 fallback 사용; fallback_used; 호가/체결강도 데이터 미지원 또는 미수신",True,True,False,csv_fallback,저장 가격 사용,True,False,EXCD=NAS | request_error:URLError; EXCD=NYS | request_error:URLError; EXCD=AMS | request_error:URLError,AMS,fallback_used,False,True,candidate_last_price,88.82,"quote API 미수신, 가격 fallback 사용",,,,
