symbol,asOf,signalScore,foreign5d,institution5d,foreign20d,institution20d
293490,2026-07-20,-1,-62378.0,-17286.0,-1197787.0,526881.0
298040,2026-07-20,-1,18023.0,-19602.0,-8612.0,-26420.0
326030,2026-07-20,3,-19768.0,915.0,61069.0,86147.0
329180,2026-07-20,2,37381.0,-16273.0,122843.0,-121568.0
352820,2026-07-20,2,83921.0,-11514.0,-165838.0,669197.0
353200,2026-07-20,2,-1502941.0,1859178.0,-64610.0,1026410.0
360750,2026-07-20,-1,-285891.0,-3484077.0,447658.0,-18267177.0
373220,2026-07-20,2,-38981.0,87505.0,199307.0,-461013.0
375500,2026-07-20,3,117188.0,36919.0,1154148.0,-49937.0
381180,2026-07-20,2,677042.0,-764977.0,2039814.0,-4088584.0
402340,2026-07-20,2,260542.0,-226698.0,-2128530.0,927687.0
403870,2026-07-20,-1,-269534.0,-94680.0,2759910.0,-8173831.0
454910,2026-07-20,3,25494.0,-28118.0,237962.0,124675.0
458730,2026-07-20,2,20886.0,-2487256.0,42528.0,-8689168.0
