market,symbol,name,sources,date,status,dataStatus,missingReason,ohlcvSource
kr,039030,이오테크닉스,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,039440,에스티아이,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,041510,에스엠,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,042660,한화오션,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,042700,한미반도체,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,047810,한국항공우주,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,051910,LG화학,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,055550,신한지주,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,058470,리노공업,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,064350,현대로템,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,066970,엘앤에프,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,067310,하나마이크론,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,068270,셀트리온,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,078930,GS,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,079550,LIG넥스원,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,086280,현대글로비스,kis_collection_targets_kr.csv|price_collection_universe_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
kr,086520,에코프로,kis_collection_targets_kr.csv|price_collection_universe_kr.csv|watchlist_kr.csv,2026-06-02,OK,NORMAL,,FinanceDataReader
