종목코드,종목명,시장,수급기준,현재가/직전종가,등락률,거래량,거래대금,수급점수,해석,다음 행동,데이터출처,분류,핵심요약,다음행동
003550,LG,한국주식,거래대금·거래량 보강,-,-,-,-,70.3,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v78_flow_clean_kr.csv,flow,수급·거래대금 기준 70.3점 후보,거래대금 지속 여부 확인
000100,유한양행,한국주식,거래대금·거래량 보강,-,-,-,-,70.3,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv,flow,수급·거래대금 기준 70.3점 후보,거래대금 지속 여부 확인
010120,엘에스일렉트릭,한국주식,거래대금·거래량 보강,-,-,-,-,68.6,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v78_flow_clean_kr.csv,flow,수급·거래대금 기준 68.6점 후보,거래대금 지속 여부 확인
000270,기아,한국주식,거래대금·거래량 보강,-,-,-,-,68.6,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv,flow,수급·거래대금 기준 68.6점 후보,거래대금 지속 여부 확인
259960,크래프톤,한국주식,거래대금·거래량 보강,-,-,-,-,66.9,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v78_flow_clean_kr.csv,flow,수급·거래대금 기준 66.9점 후보,거래대금 지속 여부 확인
000660,SK하이닉스,한국주식,거래대금·거래량 보강,-,-,-,-,66.9,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv,flow,수급·거래대금 기준 66.9점 후보,거래대금 지속 여부 확인
003490,대한항공,한국주식,거래대금·거래량 보강,-,-,-,-,65.2,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v78_flow_clean_kr.csv,flow,수급·거래대금 기준 65.2점 후보,거래대금 지속 여부 확인
000720,현대건설,한국주식,거래대금·거래량 보강,-,-,-,-,65.2,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv,flow,수급·거래대금 기준 65.2점 후보,거래대금 지속 여부 확인
028670,팬오션,한국주식,거래대금·거래량 보강,-,-,-,-,63.5,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v78_flow_clean_kr.csv,flow,수급·거래대금 기준 63.5점 후보,거래대금 지속 여부 확인
000810,삼성화재해상보험,한국주식,거래대금·거래량 보강,-,-,-,-,63.5,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv,flow,수급·거래대금 기준 63.5점 후보,거래대금 지속 여부 확인
278470,에이피알,한국주식,거래대금·거래량 보강,-,-,-,-,61.8,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v78_flow_clean_kr.csv,flow,수급·거래대금 기준 61.8점 후보,거래대금 지속 여부 확인
000990,DB하이텍,한국주식,거래대금·거래량 보강,-,-,-,-,61.8,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv,flow,수급·거래대금 기준 61.8점 후보,거래대금 지속 여부 확인
