시장,종목,종목코드,내러티브,시장 배경,주의
한국주식,DB하이텍 (000990),000990,"DB하이텍 (000990)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,HD현대중공업 (329180),329180,"HD현대중공업 (329180)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,ISC (95340),95340,"ISC (95340)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,LG유플러스 (032640),032640,"LG유플러스 (032640)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,LIG넥스원 (79550),79550,"LIG넥스원 (79550)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,LS (006260),006260,"LS (006260)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,POSCO홀딩스 (5490),5490,"POSCO홀딩스 (5490)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,SK (034730),034730,"SK (034730)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,대덕전자 (353200),353200,"대덕전자 (353200)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,두산에너빌리티 (034020),034020,"두산에너빌리티 (034020)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,두산에너빌리티 (34020),34020,"두산에너빌리티 (34020)은 현재 신규매수 가능 후보 후보입니다. 재무/KPI 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,두산테스나 (131970),131970,"두산테스나 (131970)은 현재 신규매수 가능 후보 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",강세 참고 / 강세 참고,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
