시장,종목코드,종목명,현재가,기준가,손절가,목표가,호가,수급점수,다음행동
한국주식,000990,DB하이텍 (000990),직전장 기준 확인 필요,"181,100원","172,045원","199,210원",장중 미수신 · 직전장 기준,61.8,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,375500,DL이앤씨 (375500),직전장 기준 확인 필요,"82,200원","78,090원","90,420원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,329180,HD현대중공업 (329180),직전장 기준 확인 필요,"680,000원","646,000원","748,000원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,032640,LG유플러스 (032640),직전장 기준 확인 필요,"15,760원","14,972원","17,336원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,017670,SK텔레콤 (017670),직전장 기준 확인 필요,"102,800원","97,660원","113,080원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,000660,SK하이닉스 (000660),직전장 기준 확인 필요,"1,941,000원","1,843,950원","2,135,100원",장중 미수신 · 직전장 기준,66.9,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,131970,두산테스나 (131970),"171,600원","171,600원","163,020원","188,760원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,058470,리노공업 (058470),직전장 기준 확인 필요,"106,500원","101,175원","117,150원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,005930,삼성전자 (005930),직전장 기준 확인 필요,"292,500원","277,875원","321,750원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,222800,심텍 (222800),"131,800원","131,800원","125,210원","144,980원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,012450,한화에어로스페이스 (012450),직전장 기준 확인 필요,"1,261,000원","1,197,950원","1,387,100원",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,003550,LG,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,70.3,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,000100,유한양행,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,70.3,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,010120,엘에스일렉트릭,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,68.6,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,000270,기아,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,68.6,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,259960,크래프톤,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,66.9,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,003490,대한항공,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,65.2,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,000720,현대건설,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,65.2,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,028670,팬오션,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,63.5,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,000810,삼성화재해상보험,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,63.5,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
한국주식,278470,에이피알,직전장 기준 확인 필요,-,-,-,장중 미수신 · 직전장 기준,61.8,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
