symbol,market,flow_mode,foreign_net_buy,institution_net_buy,individual_net_buy,program_net_buy,foreign_flow_score,institution_flow_score,program_flow_score,intraday_flow_score,last_price,intraday_change_pct,intraday_volume,intraday_trading_value,volume_growth_pct,trading_value_growth_pct,execution_strength,orderbook_pressure,intraday_momentum_score,flow_data_available,flow_available,flow_data_source,flow_source,flow_source_label,flow_fetch_status,flow_failure_reason,kr_flow_attempted,kr_flow_success,kr_flow_error,flow_updated_at,flow_warning
XLE,미국주식,us_momentum,,,,,,,,50,60.73,0.25,0.0,0.0,,,,0.0,50.25,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
DDOG,미국주식,us_momentum,,,,,,,,50,210.62,0.86,0.0,0.0,,,,0.0,50.86,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
MSFT,미국주식,us_momentum,,,,,,,,51,431.07,1.78,0.0,0.0,,,,0.0,51.78,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
CRWD,미국주식,us_momentum,,,,,,,,50,623.59,0.77,0.0,0.0,,,,0.0,50.77,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
S,미국주식,us_momentum,,,,,,,,51,17.76,1.25,0.0,0.0,,,,0.0,51.25,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
COST,미국주식,us_momentum,,,,,,,,50,1078.19,0.16,0.0,0.0,,,,0.0,50.16,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
APP,미국주식,us_momentum,,,,,,,,51,501.1,1.77,0.0,0.0,,,,0.0,51.77,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
MDB,미국주식,us_momentum,,,,,,,,54,343.86,4.2,0.0,0.0,,,,0.0,54.2,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
NET,미국주식,us_momentum,,,,,,,,51,204.73,1.48,0.0,0.0,,,,0.0,51.48,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
OKTA,미국주식,us_momentum,,,,,,,,52,88.82,2.04,0.0,0.0,,,,0.0,52.04,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
ORCL,미국주식,us_momentum,,,,,,,,50,186.65,0.02,0.0,0.0,,,,0.0,50.02,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
LLY,미국주식,us_momentum,,,,,,,,50,989.73,0.17,0.0,0.0,,,,0.0,50.17,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
DUOL,미국주식,us_momentum,,,,,,,,53,117.74,3.97,0.0,0.0,,,,0.0,53.97,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
RDDT,미국주식,us_momentum,,,,,,,,50,159.83,0.45,0.0,0.0,,,,0.0,50.45,True,True,csv_fallback,csv_fallback,csv_fallback,success,,False,False,,2026-05-20 22:54:51,
