symbol,market,ok,currentPrice,current_price,last_price,priceTime,priceSource,source,priceSourceType,priceSourceFile,priceSourceDate,kis_quote_success,quote_available,error,updated_at,prevClose,changePct
CEG,us,true,249.0,249.0,249.0,2026-07-17 22:04:15 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:15 KST,true,true,,2026-07-17 22:05:30 KST,251.77,
CELH,us,true,30.0,30.0,30.0,2026-07-17 22:04:15 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:15 KST,true,true,,2026-07-17 22:05:30 KST,29.98,
COHR,us,true,276.96,276.96,276.96,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,299.38,-7.4888
COIN,us,true,154.0,154.0,154.0,2026-07-17 22:04:17 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:17 KST,true,true,,2026-07-17 22:05:30 KST,160.49,
COST,us,true,960.5,960.5,960.5,2026-07-17 22:04:18 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:18 KST,true,true,,2026-07-17 22:05:30 KST,945.57,
CRCL,us,true,60.64,60.64,60.64,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,65.69,-7.6876
CRDO,us,true,196.3,196.3,196.3,2026-07-17 22:04:19 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:19 KST,true,true,,2026-07-17 22:05:30 KST,207.97,
CRM,us,true,172.68,172.68,172.68,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,167.0,3.4012
CRWD,us,true,199.21,199.21,199.21,2026-07-17 22:04:21 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:21 KST,true,true,,2026-07-17 22:05:30 KST,203.76,
DDOG,us,true,255.0,255.0,255.0,2026-07-17 22:04:22 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:22 KST,true,true,,2026-07-17 22:05:30 KST,262.32,
DELL,us,true,391.38,391.38,391.38,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,412.68,-5.1614
DUOL,us,true,128.0,128.0,128.0,2026-07-17 22:04:24 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:24 KST,true,true,,2026-07-17 22:05:30 KST,128.94,
ELF,us,true,74.49,74.49,74.49,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,74.22,0.3638
ESTC,us,true,62.11,62.11,62.11,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,62.24,-0.2089
ETN,us,true,396.27,396.27,396.27,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,412.86,-4.0183
GE,us,true,345.73,345.73,345.73,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,360.35,-4.0572
GLD,us,true,364.96,364.96,364.96,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,372.35,-1.9847
GOOGL,us,true,344.9188,344.9188,344.9188,2026-07-17 22:04:32 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:32 KST,true,true,,2026-07-17 22:05:30 KST,354.46,
HIMS,us,true,33.68,33.68,33.68,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,37.17,-9.3893
HOOD,us,true,101.65,101.65,101.65,2026-07-17 22:04:34 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:34 KST,true,true,,2026-07-17 22:05:30 KST,106.02,
HPE,us,true,45.13,45.13,45.13,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,47.39,-4.7689
HUT,us,true,88.0,88.0,88.0,2026-07-17 22:04:35 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:35 KST,true,true,,2026-07-17 22:05:30 KST,91.91,
IBIT,us,true,35.651,35.651,35.651,2026-07-17 22:04:36 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:36 KST,true,true,,2026-07-17 22:05:30 KST,36.39,
INTC,us,true,92.6945,92.6945,92.6945,2026-07-17 22:04:37 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:37 KST,true,true,,2026-07-17 22:05:30 KST,96.98,
IONQ,us,true,35.1,35.1,35.1,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,37.51,-6.425
IREN,us,true,33.75,33.75,33.75,2026-07-17 22:04:38 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:38 KST,true,true,,2026-07-17 22:05:30 KST,34.83,
ISRG,us,true,364.68,364.68,364.68,2026-07-17 22:04:39 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:39 KST,true,true,,2026-07-17 22:05:30 KST,402.33,
IWM,us,true,295.59,295.59,295.59,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,295.77,-0.0609
JOBY,us,true,7.34,7.34,7.34,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,7.76,-5.4124
KLAC,us,true,209.74,209.74,209.74,2026-07-17 22:04:42 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:42 KST,true,true,,2026-07-17 22:05:30 KST,219.37,
KTOS,us,true,46.26,46.26,46.26,2026-07-17 22:04:43 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:43 KST,true,true,,2026-07-17 22:05:30 KST,46.96,
LITE,us,true,681.5,681.5,681.5,2026-07-17 22:04:43 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:43 KST,true,true,,2026-07-17 22:05:30 KST,706.23,
LLY,us,true,1169.17,1169.17,1169.17,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,1156.63,1.0842
LRCX,us,true,305.45,305.45,305.45,2026-07-17 22:04:45 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:45 KST,true,true,,2026-07-17 22:05:30 KST,320.96,
LUNR,us,true,13.0484,13.0484,13.0484,2026-07-17 22:04:46 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:46 KST,true,true,,2026-07-17 22:05:30 KST,13.44,
MARA,us,true,11.07,11.07,11.07,2026-07-17 22:04:46 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:46 KST,true,true,,2026-07-17 22:05:30 KST,11.42,
MDB,us,true,320.0,320.0,320.0,2026-07-17 22:04:47 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:47 KST,true,true,,2026-07-17 22:05:30 KST,328.6,
MELI,us,true,1839.0,1839.0,1839.0,2026-07-17 22:04:47 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:47 KST,true,true,,2026-07-17 22:05:30 KST,1857.42,
META,us,true,648.18,648.18,648.18,2026-07-17 22:04:48 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:48 KST,true,true,,2026-07-17 22:05:30 KST,664.54,
MPWR,us,true,1252.0,1252.0,1252.0,2026-07-17 22:04:48 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:48 KST,true,true,,2026-07-17 22:05:30 KST,1305.65,
MRVL,us,true,181.55,181.55,181.55,2026-07-17 22:04:49 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:49 KST,true,true,,2026-07-17 22:05:30 KST,188.3,
MSFT,us,true,392.87,392.87,392.87,2026-07-17 22:04:50 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:50 KST,true,true,,2026-07-17 22:05:30 KST,401.1,
MSTR,us,true,90.7403,90.7403,90.7403,2026-07-17 22:04:50 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:50 KST,true,true,,2026-07-17 22:05:30 KST,94.03,
MU,us,true,826.24,826.24,826.24,2026-07-17 22:04:51 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:51 KST,true,true,,2026-07-17 22:05:30 KST,853.2,
NBIS,us,true,167.02,167.02,167.02,2026-07-17 22:04:51 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:51 KST,true,true,,2026-07-17 22:05:30 KST,171.77,
NET,us,true,272.46,272.46,272.46,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,273.04,-0.2124
NOW,us,true,104.01,104.01,104.01,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,104.73,-0.6875
NVDA,us,true,202.02,202.02,202.02,2026-07-17 22:04:54 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:54 KST,true,true,,2026-07-17 22:05:30 KST,207.4,
NVO,us,true,51.48,51.48,51.48,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,50.56,1.8196
OKLO,us,true,41.7,41.7,41.7,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,45.69,-8.7328
OKTA,us,true,141.1086,141.1086,141.1086,2026-07-17 22:04:57 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:57 KST,true,true,,2026-07-17 22:05:30 KST,147.74,
ON,us,true,84.05,84.05,84.05,2026-07-17 22:04:58 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:04:58 KST,true,true,,2026-07-17 22:05:30 KST,88.12,
ORCL,us,true,124.21,124.21,124.21,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,132.49,-6.2495
PANW,us,true,348.3,348.3,348.3,2026-07-17 22:05:00 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:00 KST,true,true,,2026-07-17 22:05:30 KST,353.99,
PATH,us,true,11.77,11.77,11.77,2026-07-17 22:05:02 KST,KIS 해외 현재가 · NYS,KIS 해외 현재가 · NYS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:02 KST,true,true,,2026-07-17 22:05:30 KST,12.03,
PLTR,us,true,134.44,134.44,134.44,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,133.76,0.5084
QQQ,us,true,692.48,692.48,692.48,2026-07-17 22:05:04 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:04 KST,true,true,,2026-07-17 22:05:30 KST,705.94,
QUBT,us,true,7.42,7.42,7.42,2026-07-17 22:05:04 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:04 KST,true,true,,2026-07-17 22:05:30 KST,7.64,
RDDT,us,true,185.26,185.26,185.26,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,198.03,-6.4485
RGTI,us,true,13.6595,13.6595,13.6595,2026-07-17 22:05:06 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:06 KST,true,true,,2026-07-17 22:05:30 KST,14.1,
RIOT,us,true,18.2,18.2,18.2,2026-07-17 22:05:07 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:07 KST,true,true,,2026-07-17 22:05:30 KST,18.82,
RKLB,us,true,65.3,65.3,65.3,2026-07-17 22:05:07 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:07 KST,true,true,,2026-07-17 22:05:30 KST,67.35,
RXRX,us,true,2.9615,2.9615,2.9615,2026-07-17 22:05:08 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:08 KST,true,true,,2026-07-17 22:05:30 KST,3.02,
S,us,true,19.63,19.63,19.63,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,19.58,0.2554
SE,us,true,106.22,106.22,106.22,2026-07-17 05:00:00 KST,Finnhub 현재가,Finnhub 현재가,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 05:00:00 KST,true,true,,2026-07-17 22:05:30 KST,111.36,-4.6157
SHOP,us,true,123.31,123.31,123.31,2026-07-17 22:05:11 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:11 KST,true,true,,2026-07-17 22:05:30 KST,125.06,
SIMO,us,true,260.596,260.596,260.596,2026-07-17 22:05:11 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:11 KST,true,true,,2026-07-17 22:05:30 KST,272.45,
SMCI,us,true,23.97,23.97,23.97,2026-07-17 22:05:12 KST,KIS 해외 현재가 · NAS,KIS 해외 현재가 · NAS,kis_snapshot,reports/kis_current_price_us.csv,2026-07-17 22:05:12 KST,true,true,,2026-07-17 22:05:30 KST,24.68,
