시장,항목,행수,상태,설명
국장,첫 화면 카드,5,정상,일반 화면 5개 카드 고정
국장,선택종목 값,6,정상,장중이 아니면 직전장/후보/수급 파일로 보강
국장,기업분석 통합,2,정상,기업분석·가치평가·KPI를 한 화면에 통합
국장,미래확률 종목명,2,정상,종목코드만 보이지 않도록 종목명 보강
국장,종목 내러티브,2,정상,뉴스/재무/수급 설명 대신 짧은 행동 중심 문장
미장,첫 화면 카드,5,정상,일반 화면 5개 카드 고정
미장,선택종목 값,9,정상,장중이 아니면 직전장/후보/수급 파일로 보강
미장,기업분석 통합,4,정상,기업분석·가치평가·KPI를 한 화면에 통합
미장,미래확률 종목명,4,정상,종목코드만 보이지 않도록 종목명 보강
미장,종목 내러티브,4,정상,뉴스/재무/수급 설명 대신 짧은 행동 중심 문장
