updatedAt,asOfDate,symbol,name,setup,regime,quoteStatus,currentPrice,prevClose,changePct,priceTime,orderbookStatus,bidRatio,totalBidQty,totalAskQty,flowStatus,flowSignal,flowScore,foreign5d,institution5d,foreign20d,institution20d,entry,stop,target,rrRatio,calibrationGate
2026-07-22 18:24:26 KST,2026-07-22,329180,HD현대중공업,BOTTOM_CATCH,BEAR,OK,464500.0,451500.0,2.88,2026-07-22 18:24:27 KST,OK,30.0,4637,10795,OK,BUY,2,98207.0,-111093.0,-17511.0,35715.0,464500.0,448668,501660,2.35,SUPPRESSED_LOW_EDGE
2026-07-22 18:24:26 KST,2026-07-22,006260,LS,BOTTOM_CATCH,BEAR,OK,284500.0,275000.0,3.45,2026-07-22 18:24:27 KST,OK,66.8,5089,2525,OK,BUY,2,69908.0,-62367.0,-13432.0,330141.0,284500.0,275800,307260,2.62,SUPPRESSED_LOW_EDGE
2026-07-22 18:24:26 KST,2026-07-22,034020,두산에너빌리티,BOTTOM_CATCH,BEAR,OK,69200.0,66800.0,3.59,2026-07-22 18:24:27 KST,OK,72.9,109950,40941,OK,BUY,3,1088886.0,-426763.0,508939.0,448617.0,69200.0,67078,74736,2.61,SUPPRESSED_LOW_EDGE
2026-07-22 18:24:26 KST,2026-07-22,005380,현대차,BOTTOM_CATCH,BEAR,OK,418000.0,399000.0,4.76,2026-07-22 18:24:27 KST,OK,44.1,8981,11376,OK,STRONG_BUY,3,153489.0,-16966.0,79838.0,389144.0,418000.0,405328,451440,2.64,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,078930,GS,BREAKOUT,BEAR,OK,88800.0,84200.0,5.46,2026-07-23 10:10:16 KST,OK,34.2,2674,5142,OK,NEUTRAL,2,-168064.0,299391.0,-659791.0,1274475.0,88700.0,85152,95796,2.0,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,138040,메리츠금융지주,BREAKOUT,BEAR,OK,116800.0,114400.0,2.1,2026-07-23 10:10:16 KST,OK,13.7,1204,7564,OK,NEUTRAL,3,19711.0,177016.0,-148564.0,1287197.0,116800.0,112128,126144,2.0,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,035900,JYP Ent.,BOTTOM_CATCH,BEAR,OK,44300.0,43750.0,1.26,2026-07-23 10:10:16 KST,OK,40.3,1886,2793,OK,NEUTRAL,2,59583.0,-188253.0,58216.0,-27936.0,44150.0,42749,47682,2.52,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,329180,HD현대중공업,BOTTOM_CATCH,BEAR,OK,478000.0,464500.0,2.91,2026-07-23 10:10:16 KST,OK,29.8,1139,2683,OK,NEUTRAL,3,5709.0,8743.0,-35154.0,75694.0,477000.0,457532,515160,1.96,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,003490,대한항공,BOTTOM_CATCH,BEAR,OK,25400.0,24900.0,2.01,2026-07-23 10:10:17 KST,OK,36.4,64670,112774,OK,NEUTRAL,-1,-378098.0,-427233.0,-1244065.0,6499935.0,25350.0,24330,27378,1.99,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,011070,LG이노텍,BOTTOM_CATCH,BEAR,OK,684000.0,647000.0,5.72,2026-07-23 10:10:17 KST,OK,35.8,910,1632,OK,NEUTRAL,2,62447.0,-29402.0,1147235.0,-892412.0,681000.0,648130,735480,1.66,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,086900,메디톡스,BOTTOM_CATCH,BEAR,OK,70100.0,68300.0,2.64,2026-07-23 10:10:17 KST,OK,45.3,843,1017,OK,NEUTRAL,3,3773.0,-3994.0,17806.0,4240.0,70100.0,67866,75708,2.51,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,KOSDAQ,KOSDAQ,BOTTOM_CATCH,BEAR,OK,765.59,,,2026-07-23 10:10:17 KST,ERROR,,,,ERROR,,,,,,,765.59,750,827,3.94,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,066970,엘앤에프,BOTTOM_CATCH,BEAR,OK,85700.0,82400.0,4.0,2026-07-23 10:10:17 KST,OK,62.2,1404,855,OK,NEUTRAL,2,80661.0,-153903.0,306159.0,-637538.0,85700.0,79292,92556,1.07,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,012450,한화에어로스페이스,BOTTOM_CATCH,BEAR,OK,903000.0,891000.0,1.35,2026-07-23 10:10:17 KST,OK,24.1,592,1866,OK,NEUTRAL,2,-22815.0,21332.0,-20697.0,109522.0,902000.0,872710,974160,2.46,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,145020,휴젤,BOTTOM_CATCH,BEAR,OK,232500.0,221500.0,4.97,2026-07-23 10:10:17 KST,OK,28.9,619,1524,OK,NEUTRAL,2,731.0,-21187.0,-31379.0,6229.0,231000.0,220640,249480,1.78,SUPPRESSED_LOW_EDGE
2026-07-23 10:10:16 KST,2026-07-23,103590,일진전기,BOTTOM_CATCH,BEAR,OK,63900.0,60900.0,4.93,2026-07-23 10:10:17 KST,OK,22.0,1165,4126,OK,NEUTRAL,2,160003.0,-62817.0,-310711.0,211730.0,63900.0,60676,69012,1.59,SUPPRESSED_LOW_EDGE
