카드,아이콘,설명,건수,TOP,상세파일,우선순위,구분
오늘 우선 확인,🎯,직전가·가격 기준을 먼저 확인할 후보,0,-,v79_action_clean_kr.csv,1,buy
눌림목 진입 후보,🪜,추격보다 눌림 조건부 진입을 기다릴 후보,0,-,v79_pullback_clean_kr.csv,2,buy
수급 급증 후보,💚,수급·거래대금 흐름을 우선 보는 후보,0,-,v79_flow_clean_kr.csv,3,buy
실적·저평가 후보,💎,실적과 밸류를 같이 확인할 후보,2,두산테스나,v79_company_clean_kr.csv,4,value
매수금지·주의,🚫,신규매수보다 제외·관망이 우선인 후보,0,-,v79_risk_clean_kr.csv,5,risk
