항목,값,점수,다음 행동
시장 가드,주의,38.6,"우호=정상, 중립=분할, 주의=축소"
시장 폭,2.16%,60.8,지수 방향 확인
섹터 강도,-,0.0,강한 섹터 우선
위험 후보,14개,0.0,위험 후보 제외
