symbol,ticker,code,종목코드,name,종목명,market,시장,current_price,last_price,현재가,가격기준시각,가격출처,quote_source_label,data_status,price_data_status,기준가,손절가,목표가,다음행동,updated_at
IWM,IWM,IWM,IWM,IWM,IWM,미국주식,미국주식,285.12,285.12,$285.12,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
AMD,AMD,AMD,AMD,AMD,AMD,미국주식,미국주식,467.51,467.51,$467.51,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,미국주식,미국주식,414.14,414.14,$414.14,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
MU,MU,MU,MU,MU,MU,미국주식,미국주식,751.0,751.0,$751.00,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
MRVL,MRVL,MRVL,MRVL,MRVL,MRVL,미국주식,미국주식,196.33,196.33,$196.33,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
ARM,ARM,ARM,ARM,ARM,ARM,미국주식,미국주식,306.51,306.51,$306.51,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
SMCI,SMCI,SMCI,SMCI,SMCI,SMCI,미국주식,미국주식,35.58,35.58,$35.58,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
ANET,ANET,ANET,ANET,ANET,ANET,미국주식,미국주식,154.03,154.03,$154.03,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
ALAB,ALAB,ALAB,ALAB,ALAB,ALAB,미국주식,미국주식,306.88,306.88,$306.88,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
CRDO,CRDO,CRDO,CRDO,CRDO,CRDO,미국주식,미국주식,218.41,218.41,$218.41,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
COHR,COHR,COHR,COHR,COHR,COHR,미국주식,미국주식,377.57,377.57,$377.57,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,미국주식,미국주식,418.57,418.57,$418.57,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
META,META,META,META,META,META,미국주식,미국주식,610.26,610.26,$610.26,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,미국주식,미국주식,266.32,266.32,$266.32,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,미국주식,미국주식,308.82,308.82,$308.82,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
APP,APP,APP,APP,APP,APP,미국주식,미국주식,481.68,481.68,$481.68,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
NET,NET,NET,NET,NET,NET,미국주식,미국주식,216.17,216.17,$216.17,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
DDOG,DDOG,DDOG,DDOG,DDOG,DDOG,미국주식,미국주식,222.32,222.32,$222.32,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,미국주식,미국주식,172.2,172.2,$172.20,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
MDB,MDB,MDB,MDB,MDB,MDB,미국주식,미국주식,326.13,326.13,$326.13,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
RDDT,RDDT,RDDT,RDDT,RDDT,RDDT,미국주식,미국주식,141.67,141.67,$141.67,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
DUOL,DUOL,DUOL,DUOL,DUOL,DUOL,미국주식,미국주식,106.61,106.61,$106.61,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,미국주식,미국주식,73.64,73.64,$73.64,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
COIN,COIN,COIN,COIN,COIN,COIN,미국주식,미국주식,184.99,184.99,$184.99,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
VRT,VRT,VRT,VRT,VRT,VRT,미국주식,미국주식,327.46,327.46,$327.46,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
ETN,ETN,ETN,ETN,ETN,ETN,미국주식,미국주식,391.35,391.35,$391.35,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
CEG,CEG,CEG,CEG,CEG,CEG,미국주식,미국주식,294.07,294.07,$294.07,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
SMR,SMR,SMR,SMR,SMR,SMR,미국주식,미국주식,11.4,11.4,$11.40,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
RGTI,RGTI,RGTI,RGTI,RGTI,RGTI,미국주식,미국주식,26.42,26.42,$26.42,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
QUBT,QUBT,QUBT,QUBT,QUBT,QUBT,미국주식,미국주식,12.31,12.31,$12.31,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
GE,GE,GE,GE,GE,GE,미국주식,미국주식,302.84,302.84,$302.84,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
KTOS,KTOS,KTOS,KTOS,KTOS,KTOS,미국주식,미국주식,56.18,56.18,$56.18,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
AVAV,AVAV,AVAV,AVAV,AVAV,AVAV,미국주식,미국주식,174.23,174.23,$174.23,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
ACHR,ACHR,ACHR,ACHR,ACHR,ACHR,미국주식,미국주식,6.36,6.36,$6.36,05-26 09:29 KST,KIS 해외 현재가 · 05-26 09:29 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
JOBY,JOBY,JOBY,JOBY,JOBY,JOBY,미국주식,미국주식,10.92,10.92,$10.92,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
TMDX,TMDX,TMDX,TMDX,TMDX,TMDX,미국주식,미국주식,68.935,68.935,$68.94,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
HIMS,HIMS,HIMS,HIMS,HIMS,HIMS,미국주식,미국주식,23.75,23.75,$23.75,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
TEM,TEM,TEM,TEM,TEM,TEM,미국주식,미국주식,46.18,46.18,$46.18,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
SPY,SPY,SPY,SPY,SPY,SPY,미국주식,미국주식,745.64,745.64,$745.64,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
SMH,SMH,SMH,SMH,SMH,SMH,미국주식,미국주식,576.32,576.32,$576.32,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
BMNR,BMNR,BMNR,BMNR,BMNR,BMNR,미국주식,미국주식,18.88,18.88,$18.88,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
