구분,종목,시장,보유수량,평단가,현재가,수익률,권장행동,권장수량,예상금액,가격출처,초보자 안내
보유/매도,두산테스나 (131970),한국주식,30.0,"178,200원","171,600원",-3.70%,보유 유지,0,-,FinanceDataReader 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,심텍 (222800),한국주식,55.0,"98,200원","131,800원",34.22%,일부 익절 검토,14,"1,845,200원",FinanceDataReader 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
