시장,종목,위험 구분,초보자 해석,핵심 사유,권장 행동
한국주식,DL이앤씨 (375500),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,GS (078930),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,HD한국조선해양 (9540),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,JYP Ent. (35900),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,KG모빌리티 (3620),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,LG이노텍 (011070),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,현재가가 우선진입가 대비 +5.0% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,LG이노텍 (11070),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,갭·과열 구간: 눌림 대기 또는 매수금지 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,LS ELECTRIC (010120),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,POSCO홀딩스 (005490),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,현재가가 우선진입가 대비 +5.0% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,SK (34730),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,현재가가 우선진입가 대비 +6.0% (한도 5%) / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,SK이노베이션 (096770),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +7.92%, 영업이익 확인 필요.",신규매수 보류
한국주식,고려아연 (010130),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +30.74%, 영업이익 개선.",신규매수 보류
한국주식,로보스타 (90360),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,로보티즈 (108490),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,메디톡스 (086900),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +5.75%, 영업이익 확인 필요.",신규매수 보류
한국주식,삼성전기 (009150),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,갭·과열 구간: 눌림 대기 또는 매수금지 / 현재가가 우선진입가 대비 +5.2% (한도 5%) / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,신한지주 (055550),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"기대값 참고 약세 (-0.33%, n=5) / 손익비 기준 미통과 / rr < 1.5",신규매수 보류
한국주식,에스티아이 (39440),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,에코프로비엠 (247540),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,엘앤에프 (66970),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,이오테크닉스 (39030),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,일진전기 (103590),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,현재가가 우선진입가 대비 +6.4% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,주성엔지니어링 (36930),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,현재가가 우선진입가 대비 +6.5% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,천보 (278280),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"DART 2023~2025년 재무 반영. 매출 CAGR -14.41%, 영업이익 개선.",신규매수 보류
한국주식,카카오게임즈 (293490),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,케이티 (030200),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +3.48%, 영업이익 개선.",신규매수 보류
한국주식,코스모신소재 (5070),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,갭·과열 구간: 눌림 대기 또는 매수금지 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,테크윙 (89030),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,파마리서치 (214450),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,포스코퓨처엠 (003670),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"기대값 참고 약세 (-1.99%, n=7) / 손익비 기준 미통과 / rr < 1.5",신규매수 보류
한국주식,하나마이크론 (067310),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,현재가가 우선진입가 대비 +5.3% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,하나마이크론 (67310),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,현재가가 우선진입가 대비 +5.7% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,한국전력 (15760),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만,신규매수 보류
한국주식,한국항공우주 (047810),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,한국항공우주 (47810),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,한미약품 (128940),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +1.88%, 영업이익 개선.",신규매수 보류
한국주식,한화오션 (42660),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 기대값 참고 약세 (-0.98%, n=5) / 손익비 기준 미통과 / rr < 1.5",신규매수 보류
한국주식,현대글로비스 (086280),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +7.29%, 영업이익 개선.",신규매수 보류
한국주식,현대글로비스 (86280),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,현대로템 (64350),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,"주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 기대값 참고 약세 (-2.42%, n=5)",신규매수 보류
한국주식,현대제철 (004020),신규매수 제외,지금은 신규 매수보다 보류가 우선입니다.,손익비 기준 미통과 / rr < 1.5,신규매수 보류
한국주식,035420 (35420),손익비 부족,손절폭 대비 기대수익이 부족합니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만,기준가 재조정 후 재확인
한국주식,DB하이텍 (000990),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,GS (78930),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,GS건설 (6360),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,HD현대중공업 (329180),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,HMM (011200),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +13.86%, 영업이익 개선.",기준가 재조정 후 재확인
한국주식,HMM (11200),손익비 부족,손절폭 대비 기대수익이 부족합니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세,기준가 재조정 후 재확인
한국주식,HPSP (403870),손익비 부족,손절폭 대비 기대수익이 부족합니다.,HPSP: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=2로 기대값은 참고 수준,기준가 재조정 후 재확인
한국주식,ISC (95340),손익비 부족,손절폭 대비 기대수익이 부족합니다.,현재가가 우선진입가 대비 +6.1% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만,기준가 재조정 후 재확인
한국주식,KG모빌리티 (003620),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR N/A, 영업이익 개선.",기준가 재조정 후 재확인
한국주식,KT (30200),손익비 부족,손절폭 대비 기대수익이 부족합니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세,기준가 재조정 후 재확인
한국주식,LG (003550),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LG (3550),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LG에너지솔루션 (373220),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LG유플러스 (032640),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LG유플러스 (032640) (32640),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LG화학 (051910),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"기대값 참고 약세 (-2.24%, n=7) / 손익비 기준 미통과 / rr < 1.5",기준가 재조정 후 재확인
한국주식,LG화학 (51910),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"기대값 참고 약세 (-1.92%, n=6) / 손익비 기준 미통과 / rr < 1.5",기준가 재조정 후 재확인
한국주식,LIG넥스원 (079550),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LIG넥스원 (79550),손익비 부족,손절폭 대비 기대수익이 부족합니다.,현재가가 우선진입가 대비 +5.4% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만,기준가 재조정 후 재확인
한국주식,LS (006260),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LS (006260) (6260),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,LX세미콘 (108320),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,NAVER (035420),손익비 부족,손절폭 대비 기대수익이 부족합니다.,주봉 강한 하락 추세 / 뉴스 리스크 참고(1): 주봉 강한 하락 추세 / 유사 조건 표본 부족: 기대값은 참고만,기준가 재조정 후 재확인
한국주식,POSCO홀딩스 (5490),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,S-Oil (010950),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR -2.09%, 영업이익 확인 필요.",기준가 재조정 후 재확인
한국주식,S-Oil (10950),손익비 부족,손절폭 대비 기대수익이 부족합니다.,S-Oil: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,기준가 재조정 후 재확인
한국주식,SK (034730),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +7.92%, 영업이익 확인 필요.",기준가 재조정 후 재확인
한국주식,SK스퀘어 (402340),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,SK이노베이션 (96770),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,SK텔레콤 (017670),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR -1.46%, 영업이익 확인 필요.",기준가 재조정 후 재확인
한국주식,SK텔레콤 (017670) (17670),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,SK하이닉스 (000660),손익비 부족,손절폭 대비 기대수익이 부족합니다.,현재가가 우선진입가 대비 +5.1% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만,기준가 재조정 후 재확인
한국주식,SK하이닉스 (000660) (660),손익비 부족,손절폭 대비 기대수익이 부족합니다.,현재가가 우선진입가 대비 +5.1% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만,기준가 재조정 후 재확인
한국주식,기아 (000270),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +6.94%, 영업이익 확인 필요.",기준가 재조정 후 재확인
한국주식,기아 (270),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"기대값 참고 약세 (-1.28%, n=6) / 손익비 기준 미통과 / rr < 1.5",기준가 재조정 후 재확인
한국주식,나노신소재 (121600),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +15.91%, 영업이익 확인 필요.",기준가 재조정 후 재확인
한국주식,대덕전자 (353200),손익비 부족,손절폭 대비 기대수익이 부족합니다.,현재가가 우선진입가 대비 +6.1% (한도 5%),기준가 재조정 후 재확인
한국주식,대한전선 (001440),손익비 부족,손절폭 대비 기대수익이 부족합니다.,현재가가 우선진입가 대비 +6.4% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,대한전선 (1440),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,두산에너빌리티 (034020),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,두산에너빌리티 (34020),손익비 부족,손절폭 대비 기대수익이 부족합니다.,손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,두산테스나 (131970),손익비 부족,손절폭 대비 기대수익이 부족합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5,기준가 재조정 후 재확인
한국주식,리노공업 (058470),손익비 부족,손절폭 대비 기대수익이 부족합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +20.73%, 영업이익 개선.",기준가 재조정 후 재확인
