종목코드,시장,수급 기준,현재가/직전종가,등락률,거래량,거래대금,수급점수,상태,해석,다음 행동
131970,한국주식,국장 수급,"161,661원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
222800,한국주식,국장 수급,"97,942원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
005930,한국주식,국장 수급,"292,500원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
000660,한국주식,국장 수급,"1,941,000원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
042700,한국주식,국장 수급,"320,500원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
007660,한국주식,국장 수급,"126,100원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
403870,한국주식,국장 수급,"54,700원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
058470,한국주식,국장 수급,"106,500원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
095340,한국주식,국장 수급,"210,000원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
067310,한국주식,국장 수급,"51,700원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
036930,한국주식,국장 수급,"168,617원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
000990,한국주식,국장 수급,"161,980원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
009150,한국주식,국장 수급,"1,340,000원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
011070,한국주식,국장 수급,"864,000원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
267260,한국주식,국장 수급,"1,173,000원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
010120,한국주식,국장 수급,"281,000원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
298040,한국주식,국장 수급,"4,007,000원",-,-,-,50,직전 장 기준 참고,국장은 외국인/기관/프로그램 수급을 우선 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
