시장,종목코드,종목명,분류,기준가,1일상승확률,3일상승확률,5일상승확률,신뢰도,다음 행동
한국주식,,,오늘 확인,"181,100원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"82,200원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"680,000원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"15,760원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"102,800원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"1,941,000원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"171,600원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"106,500원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"292,500원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"131,800원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,오늘 확인,"1,261,000원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"181,100원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"82,200원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"680,000원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"15,760원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"102,800원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"1,941,000원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"171,600원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"106,500원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"292,500원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"131,800원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,눌림목,"1,261,000원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,003550,LG,수급·거래대금,-,60.1%,63.1%,65.1%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,000100,유한양행,수급·거래대금,-,60.1%,63.1%,65.1%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,010120,엘에스일렉트릭,수급·거래대금,-,59.7%,62.7%,64.7%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,000270,기아,수급·거래대금,-,59.7%,62.7%,64.7%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,259960,크래프톤,수급·거래대금,-,59.4%,62.4%,64.4%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,000660,SK하이닉스,수급·거래대금,-,59.4%,62.4%,64.4%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,003490,대한항공,수급·거래대금,-,59.0%,62.0%,64.0%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,000720,현대건설,수급·거래대금,-,59.0%,62.0%,64.0%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,028670,팬오션,수급·거래대금,-,58.7%,61.7%,63.7%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,000810,삼성화재해상보험,수급·거래대금,-,58.7%,61.7%,63.7%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,278470,에이피알,수급·거래대금,-,58.4%,61.4%,63.4%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,000990,DB하이텍,수급·거래대금,-,58.4%,61.4%,63.4%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,131970,두산테스나,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,222800,심텍,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,,주의/제외,-,42%,45%,47%,기록 축적 중,실제 결과가 쌓이면 자동 보정
