종목코드,종목명,시장,판단,보유수량,평단,현재가,수익률,권장수량,예상금액,가격출처,다음 행동
131970,두산테스나 (131970),한국주식,보유 유지,30.0,"178,200원","171,600원",-3.70%,0,-,FinanceDataReader 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
222800,심텍 (222800),한국주식,일부 익절 검토,55.0,"98,200원","131,800원",34.22%,14,"1,845,200원",FinanceDataReader 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
