시장,카드,지표,티커,값,변화율,상태,해석,출처
한국주식,시장 국면,KOSPI 직전 종가,^KS11,7847.7099609375,0.41%,수신,시장 흐름이 우호적입니다.,yfinance 직전 종가
한국주식,시장 폭,KOSDAQ 직전 종가,^KQ11,1161.1300048828125,4.99%,수신,시장 흐름이 우호적입니다.,yfinance 직전 종가
한국주식,환율,USD/KRW 참고,KRW=X,1512.8299560546875,0.56%,수신,시장 흐름이 우호적입니다.,yfinance 직전 종가
